instance,customers,run,method,checkpoint,q,BestCost,BKS
6.10.1,6,10,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.2,6,1,coop,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,1,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,coop,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,2,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,3,coop,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,3,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,3,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,3,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,3,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,3,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,3,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,3,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,3,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,4,coop,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,4,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,4,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,4,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,4,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,4,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,4,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,4,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,4,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,5,coop,0,0/8,1300.498819297096,1232.5642370084722
6.10.2,6,5,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,5,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,5,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,5,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,5,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,5,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,5,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,5,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,6,coop,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,6,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,6,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,6,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,6,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,6,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,6,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,6,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,6,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,7,coop,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,7,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,7,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,7,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,7,coop,4,4/8,1232.5642370084722,1232.5642370084722
