n,instance,runs,avg_result,bks,avg_rpd_pct,std_dev,cv_pct
12,12.10.1,10,1669.8569829807202,1669.8569829807207,-2.7232712473060598e-14,1.5898101509722005e-13,9.520636600473204e-15
12,12.10.2,10,1670.9122410598097,1670.91224105981,-1.3607756880098962e-14,0.0,0.0
12,12.10.3,10,1788.4912930025478,1788.491293002548,-1.2713155290877234e-14,7.190186943645084e-14,4.0202526966592515e-15
12,12.10.4,10,1719.958304991703,1719.9583049917032,-1.3219720198061945e-14,0.0,0.0
12,12.20.1,10,8240.622101600888,8240.622101600888,0.0,0.0,0.0
12,12.20.2,10,8615.090910921224,8615.090910921224,0.0,0.0,0.0
12,12.20.3,10,5974.02974337627,5974.02974337627,0.0,0.0,0.0
12,12.20.4,10,7417.9968484856945,7417.996848485695,-1.2260650959410853e-14,0.0,0.0
12,12.5.1,10,722.7394361159835,722.7394361159835,0.0,0.0,0.0
12,12.5.2,10,682.5606451824856,682.5606451824856,0.0,0.0,0.0
12,12.5.3,10,1011.0698275268996,1011.0698275268996,0.0,0.0,0.0
12,12.5.4,10,925.8220031419719,925.8220031419719,0.0,0.0,0.0
